productTypeID,typeName,typeID,groupID
3521,Heavy Pulse Laser II Blueprint,3521,133
459,Heavy Beam Laser I,459,53
3026,Heavy Beam Laser II Blueprint,3026,133
460,Dual Heavy Pulse Laser I,460,53
4148,Dual Heavy Pulse Laser II Blueprint,4148,133
461,Dual Heavy Beam Laser I,461,53
2986,Dual Heavy Beam Laser II Blueprint,2986,133
462,Mega Pulse Laser I,462,53
3058,Mega Pulse Laser II Blueprint,3058,133
463,Mega Beam Laser I,463,53
3050,Mega Beam Laser II Blueprint,3050,133
464,Tachyon Beam Laser I,464,53
3066,Tachyon Beam Laser II Blueprint,3066,133
33623,Abaddon Tash-Murkon Edition,33623,27
33625,Abaddon Kador Edition,33625,27
50007,Expired Basic 'Ardour' Cerebral Accelerator,50007,303
33627,Rokh Nugoeihuvi Edition,33627,27
50009,Expired Advanced 'Ardour' Cerebral Accelerator,50009,303
33629,Rokh Wiyrkomi Edition,33629,27
33631,Maelstrom Nefantar Edition,33631,27
33633,Maelstrom Krusual Edition,33633,27
33635,Hyperion Aliastra Edition,33635,27
33637,Hyperion Inner Zone Shipping Edition,33637,27
33639,Omen Kador Edition,33639,26
33641,Omen Tash-Murkon Edition,33641,26
33643,Caracal Nugoeihuvi Edition,33643,26
57453,Carbon Fiber,57453,428
33645,Caracal Wiyrkomi Edition,33645,26
178,Carbonized Lead S,178,83
12634,Tremor S Blueprint,12634,725
179,Nuclear S,179,83
12626,Barrage S Blueprint,12626,725
180,Proton S,180,83
181,Depleted Uranium S,181,83
12609,Hail S Blueprint,12609,725
182,Titanium Sabot S,182,83
12632,Quake S Blueprint,12632,725
183,Fusion S,183,83
184,Phased Plasma S,184,83
185,EMP S,185,83
186,Carbonized Lead M,186,83
12772,Tremor M Blueprint,12772,725
187,Nuclear M,187,83
12774,Barrage M Blueprint,12774,725
188,Proton M,188,83
189,Depleted Uranium M,189,83
12778,Hail M Blueprint,12778,725
190,Titanium Sabot M,190,83
12768,Quake M Blueprint,12768,725
191,Fusion M,191,83
192,Phased Plasma M,192,83
193,EMP M,193,83
194,Carbonized Lead L,194,83
12766,Tremor L Blueprint,12766,725
195,Nuclear L,195,83
12776,Barrage L Blueprint,12776,725
196,Proton L,196,83
197,Depleted Uranium L,197,83
12780,Hail L Blueprint,12780,725
198,Titanium Sabot L,198,83
12762,Quake L Blueprint,12762,725
199,Fusion L,199,83
200,Phased Plasma L,200,83
201,EMP L,201,83
33671,Heavy Hull Maintenance Bot I,33671,640
33709,Heavy Hull Maintenance Bot II Blueprint,33709,1144
33673,Whiptail,33673,831
57458,Meta-Operant Neurolink Enhancer,57458,4096
33675,Chameleon,33675,833
33677,Police Pursuit Comet,33677,25
33681,Gecko,33681,100
33683,Mackinaw ORE Development Edition,33683,543
33685,Orca ORE Development Edition,33685,941
57460,Axosomatic Neurolink Enhancer,57460,4096
33687,Rorqual ORE Development Edition,33687,883
50067,Inquest 'Hedone' Entanglement Optimizer WS-804,50067,740
33689,Iteron Inner Zone Shipping Edition,33689,28
33691,Tayra Wiyrkomi Edition,33691,28
33693,Mammoth Nefantar Edition,33693,28
33695,Bestower Tash-Murkon Edition,33695,28
33697,Prospect,33697,1283
33700,'Packrat' Mobile Tractor Unit,33700,1250
589,Executioner,589,25
11185,Crusader Blueprint,11185,105
11187,Malediction Blueprint,11187,105
590,Inquisitor,590,25
12041,Purifier Blueprint,12041,105
39580,Deacon Blueprint,39580,105
11691,Thermonuclear Trigger Unit,11691,334
592,Navitas,592,25
40301,Thalia Blueprint,40301,105
11530,Plasma Thruster,11530,334
11538,Nanomechanical Microprocessor,11538,334
11692,Nuclear Pulse Generator,11692,334
11552,Scalar Capacitor Unit,11552,334
11544,Titanium Diborite Armor Plate,11544,334
11531,Ion Thruster,11531,334
11539,Nanoelectrical Microprocessor,11539,334
11547,Fusion Reactor Unit,11547,334
11693,Graviton Pulse Generator,11693,334
11536,Ladar Sensor Cluster,11536,334
603,Merlin,603,25
11380,Hawk Blueprint,11380,105
11382,Harpy Blueprint,11382,105
11694,EM Pulse Generator,11694,334
11537,Radar Sensor Cluster,11537,334
11549,Antimatter Reactor Unit,11549,334
11695,Plasma Pulse Generator,11695,334
11534,Gravimetric Sensor Cluster,11534,334
11556,Pulse Shield Emitter,11556,334
11548,Nuclear Reactor Unit,11548,334
613,Devourer,613,25
11535,Magnetometric Sensor Cluster,11535,334
11555,Deflection Shield Emitter,11555,334
616,Medusa,616,25
617,Echo,617,237
618,Lynx,618,25
619,Swordspine,619,25
672,Caldari Shuttle,672,31
623,Moa,623,26
11996,Onyx Blueprint,11996,106
12012,Eagle Blueprint,12012,106
624,Maller,624,26
12018,Devoter Blueprint,12018,106
12020,Sacrilege Blueprint,12020,106
625,Augoror,625,26
11988,Guardian Blueprint,11988,106
626,Vexor,626,26
12006,Ishtar Blueprint,12006,106
627,Thorax,627,26
12022,Phobos Blueprint,12022,106
12024,Deimos Blueprint,12024,106
57469,Goal-Orienting Neurolink Stabilizer,57469,4096
629,Rupture,629,26
12014,Broadsword Blueprint,12014,106
12016,Muninn Blueprint,12016,106
630,Bellicose,630,26
11962,Huginn Blueprint,11962,106
11964,Rapier Blueprint,11964,106
631,Scythe,631,26
11979,Scimitar Blueprint,11979,106
632,Blackbird,632,26
11958,Falcon Blueprint,11958,106
11960,Rook Blueprint,11960,106
633,Celestis,633,26
11970,Arazu Blueprint,11970,106
11972,Lachesis Blueprint,11972,106
57470,U-C Trigger Neurolink Conduit,57470,334
648,Badger,648,28
12730,Crane Blueprint,12730,503
649,Tayra,649,28
12732,Bustard Blueprint,12732,503
650,Nereus,650,28
12744,Viator Blueprint,12744,503
651,Hoarder,651,28
652,Mammoth,652,28
12748,Mastodon Blueprint,12748,503
653,Wreathe,653,28
12736,Prowler Blueprint,12736,503
654,Kryos,654,28
655,Epithal,655,28
12746,Occator Blueprint,12746,503
656,Miasmos,656,28
657,Iteron Mark V,657,28
640,Scorpion,640,27
22437,Widow Blueprint,22437,107
641,Megathron,641,27
28662,Kronos Blueprint,28662,107
642,Apocalypse,642,27
28660,Paladin Blueprint,28660,107
643,Armageddon,643,27
22429,Redeemer Blueprint,22429,107
644,Typhoon,644,27
22441,Panther Blueprint,22441,107
645,Dominix,645,27
22431,Sin Blueprint,22431,107
671,Erebus,671,30
377,Small Shield Extender I,377,38
1013,Small Shield Extender II Blueprint,1013,118
380,Small Shield Extender II,380,38
574,425mm Railgun I,574,74
3091,425mm Railgun II Blueprint,3091,154
393,Shield Recharger I,393,39
1027,Shield Recharger II Blueprint,1027,119
394,Shield Recharger II,394,39
399,Small Shield Booster I,399,40
1033,Small Shield Booster II Blueprint,1033,120
400,Small Shield Booster II,400,40
57480,Programmable Purification Membrane,57480,334
57481,Genetic Lock Preserver,57481,334
33816,Garmur,33816,25
33818,Orthrus,33818,26
33820,Barghest,33820,27
33822,Omnidirectional Tracking Enhancer I,33822,1292
33825,Omnidirectional Tracking Enhancer II Blueprint,33825,408
33824,Omnidirectional Tracking Enhancer II,33824,1292
57484,Genetic Structure Repairer,57484,334
434,5MN Microwarpdrive I,434,46
1073,5MN Microwarpdrive II Blueprint,1073,126
438,1MN Afterburner II,438,46
439,1MN Afterburner I,439,46
1071,1MN Afterburner II Blueprint,1071,126
440,5MN Microwarpdrive II,440,46
442,Cargo Scanner I,442,47
2039,Cargo Scanner II Blueprint,2039,127
443,Ship Scanner I,443,48
1856,Ship Scanner II Blueprint,1856,128
444,Survey Scanner I,444,49
2334,Survey Scanner II Blueprint,2334,129
447,Warp Scrambler I,447,52
1080,Warp Scrambler II Blueprint,1080,132
448,Warp Scrambler II,448,52
17476,Covetor,17476,463
22545,Hulk Blueprint,22545,477
17478,Retriever,17478,463
22549,Mackinaw Blueprint,22549,477
520,Gyrostabilizer I,520,59
1095,Gyrostabilizer II Blueprint,1095,139
17480,Procurer,17480,463
22547,Skiff Blueprint,22547,477
523,Small Armor Repairer I,523,62
1184,Small Armor Repairer II Blueprint,1184,142
524,Small Hull Repairer I,524,63
2356,Small Hull Repairer II Blueprint,2356,143
17485,Republic Fleet Cruise Missile Launcher,17485,506
527,Stasis Webifier II,527,65
33871,Cyclone Thukker Tribe Edition,33871,419
17488,Republic Fleet Rocket Launcher,17488,507
530,Small Energy Nosferatu I,530,68
13002,Small Energy Nosferatu II Blueprint,13002,148
33875,Prophecy Blood Raiders Edition,33875,419
533,Small Energy Neutralizer I,533,71
13004,Small Energy Neutralizer II Blueprint,13004,151
33877,Catalyst Serpentis Edition,33877,420
561,75mm Gatling Rail I,561,74
3099,75mm Gatling Rail II Blueprint,3099,154
562,Light Electron Blaster I,562,74
3163,Light Electron Blaster II Blueprint,3163,154
563,Light Ion Blaster I,563,74
3171,Light Ion Blaster II Blueprint,3171,154
564,Light Neutron Blaster I,564,74
3179,Light Neutron Blaster II Blueprint,3179,154
565,150mm Railgun I,565,74
3075,150mm Railgun II Blueprint,3075,154
17500,Caldari Navy Stasis Webifier,17500,65
567,Dual 150mm Railgun I,567,74
3107,Dual 150mm Railgun II Blueprint,3107,154
17502,Ammatar Navy EM Armor Hardener,17502,328
569,Heavy Ion Blaster I,569,74
3139,Heavy Ion Blaster II Blueprint,3139,154
17504,Ammatar Navy Explosive Armor Hardener,17504,328
571,Electron Blaster Cannon I,571,74
3123,Electron Blaster Cannon II Blueprint,3123,154
17506,Ammatar Navy Kinetic Armor Hardener,17506,328
573,Neutron Blaster Cannon I,573,74
3187,Neutron Blaster Cannon II Blueprint,3187,154
17508,Ammatar Navy Thermal Armor Hardener,17508,328
575,Ion Blaster Cannon I,575,74
3155,Ion Blaster Cannon II Blueprint,3155,154
17510,Ammatar Navy Capacitor Power Relay,17510,767
577,Medium Capacitor Booster I,577,76
2025,Medium Capacitor Booster II Blueprint,2025,156
17512,Ammatar Navy Kinetic Coating,17512,98
215,Iron Charge S,215,85
216,Tungsten Charge S,216,85
217,Iridium Charge S,217,85
12621,Javelin S Blueprint,12621,722
17516,Ammatar Navy Explosive Coating,17516,98
219,Thorium Charge S,219,85
12615,Null S Blueprint,12615,722
17518,Ammatar Navy EM Coating,17518,98
221,Plutonium Charge S,221,85
12619,Spike S Blueprint,12619,722
17520,Federation Navy Sensor Booster,17520,212
223,Iron Charge M,223,85
224,Tungsten Charge M,224,85
225,Iridium Charge M,225,85
12802,Javelin M Blueprint,12802,722
226,Lead Charge M,226,85
227,Thorium Charge M,227,85
12786,Null M Blueprint,12786,722
228,Uranium Charge M,228,85
229,Plutonium Charge M,229,85
12806,Spike M Blueprint,12806,722
17528,Imperial Navy Capacitor Power Relay,17528,767
231,Iron Charge L,231,85
232,Tungsten Charge L,232,85
233,Iridium Charge L,233,85
12804,Javelin L Blueprint,12804,722
234,Lead Charge L,234,85
235,Thorium Charge L,235,85
12788,Null L Blueprint,12788,722
236,Uranium Charge L,236,85
237,Plutonium Charge L,237,85
12808,Spike L Blueprint,12808,722
17536,Ammatar Navy Multispectrum Energized Membrane,17536,326
239,Radio S,239,86
12560,Aurora S Blueprint,12560,726
17538,Ammatar Navy Kinetic Energized Membrane,17538,326
241,Infrared S,241,86
17540,Ammatar Navy Explosive Energized Membrane,17540,326
243,Ultraviolet S,243,86
12564,Scorch S Blueprint,12564,726
17542,Ammatar Navy EM Energized Membrane,17542,326
245,Gamma S,245,86
17544,Ammatar Navy Thermal Energized Membrane,17544,326
247,Radio M,247,86
12823,Aurora M Blueprint,12823,726
248,Microwave M,248,86
249,Infrared M,249,86
250,Standard M,250,86
17549,Federation Navy Multispectrum Coating,17549,98
252,Xray M,252,86
12815,Conflagration M Blueprint,12815,726
253,Gamma M,253,86
254,Multifrequency M,254,86
12827,Gleam M Blueprint,12827,726
17553,Federation Navy Explosive Coating,17553,98
256,Microwave L,256,86
17555,Federation Navy EM Coating,17555,98
258,Standard L,258,86
259,Ultraviolet L,259,86
12821,Scorch L Blueprint,12821,726
260,Xray L,260,86
12817,Conflagration L Blueprint,12817,726
261,Gamma L,261,86
17559,Federation Navy Stasis Webifier,17559,65
263,Cap Booster 25,263,87
264,Cap Booster 50,264,87
1183,Small Armor Repairer II,1183,62
1185,Small Cap Battery I,1185,61
3489,Small Cap Battery II Blueprint,3489,141
1190,Small Remote Capacitor Transmitter II,1190,67
1195,Cap Recharger I,1195,43
2033,Cap Recharger II Blueprint,2033,123
1197,EM Coating I,1197,98
1205,EM Coating II Blueprint,1205,163
1198,EM Coating II,1198,98
1182,Auto Targeting System I,1182,96
1437,Auto Targeting System II Blueprint,1437,162
580,Burst Jammer I,580,80
2118,Burst Jammer II Blueprint,2118,160
581,Passive Targeter I,581,82
2342,Passive Targeter II Blueprint,2342,161
1201,Wasp I,1201,100
2437,Wasp II Blueprint,2437,176
269,Mjolnir Auto-Targeting Light Missile I,269,394
270,Python Mine,270,92
1202,Civilian Mining Drone,1202,101
266,Scourge Rocket,266,387
24472,Scourge Rage Rocket Blueprint,24472,166
24605,Scourge Javelin Rocket Blueprint,24605,166
267,Scourge Torpedo,267,89
24522,Scourge Rage Torpedo Blueprint,24522,166
24530,Scourge Javelin Torpedo Blueprint,24530,166
17619,Caldari Navy Hookbill,17619,25
1236,Overdrive Injector System II,1236,764
1244,Overdrive Injector System I,1244,764
1237,Overdrive Injector System II Blueprint,1237,158
1246,Capacitor Flux Coil I,1246,768
1249,Capacitor Flux Coil II Blueprint,1249,137
1248,Capacitor Flux Coil II,1248,768
17634,Caracal Navy Issue,17634,26
17636,Raven Navy Issue,17636,27
1254,Shield Flux Coil I,1254,770
1257,Shield Flux Coil II Blueprint,1257,137
1256,Shield Flux Coil II,1256,770
218,Lead Charge S,218,85
17648,Antimatter Charge XL,17648,85
41323,Void XL Blueprint,41323,722
17650,Iridium Charge XL,17650,85
41327,Javelin XL Blueprint,41327,722
17652,Iron Charge XL,17652,85
17654,Lead Charge XL,17654,85
17656,Plutonium Charge XL,17656,85
41329,Spike XL Blueprint,41329,722
1274,Layered Coating I,1274,98
1277,Layered Coating II Blueprint,1277,163
1276,Layered Coating II,1276,98
17662,Uranium Charge XL,17662,85
17664,Carbonized Lead XL,17664,83
41319,Tremor XL Blueprint,41319,725
17666,Depleted Uranium XL,17666,83
41315,Hail XL Blueprint,41315,725
1284,Kinetic Coating I,1284,98
1287,Kinetic Coating II Blueprint,1287,163
1286,Kinetic Coating II,1286,98
17672,Nuclear XL,17672,83
41317,Barrage XL Blueprint,41317,725
17674,Phased Plasma XL,17674,83
17676,Proton XL,17676,83
17678,Titanium Sabot XL,17678,83
41321,Quake XL Blueprint,41321,725
17680,Gamma XL,17680,86
17682,Infrared XL,17682,86
17684,Microwave XL,17684,86
17686,Multifrequency XL,17686,86
41335,Gleam XL Blueprint,41335,726
1304,Multispectrum Coating I,1304,98
1307,Multispectrum Coating II Blueprint,1307,163
17690,Standard XL,17690,86
17692,Ultraviolet XL,17692,86
41331,Scorch XL Blueprint,41331,726
17694,Xray XL,17694,86
41333,Conflagration XL Blueprint,41333,726
1317,Expanded Cargohold I,1317,765
1320,Expanded Cargohold II Blueprint,1320,158
